id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
MX94dI81/,MX94dI8177,77,57,Mitchell Weiser (Hertha Berlin) wins a free kick in the defensive half.,8,,2,Hertha Berlin,Werder Bremen,mitchell weiser,,,,,,0,2.0,,0,,0
MX94dI81/,MX94dI8178,78,58,Fin Bartels (SV Werder Bremen) wins a free kick in the attacking half.,8,,1,Werder Bremen,Hertha Berlin,fin bartels,,,,,,0,1.0,,0,,0
MX94dI81/,MX94dI8179,79,58,"Corner,  SV Werder Bremen. Conceded by Genki Haraguchi.",2,,1,Werder Bremen,Hertha Berlin,genki haraguchi,genki haraguchi,,,,,0,,,0,,0
MX94dI81/,MX94dI8180,80,58,Foul by John Brooks (Hertha Berlin).,3,,2,Hertha Berlin,Werder Bremen,john brooks,,,,,,0,,,0,,0
MX94dI81/,MX94dI8181,81,60,"Attempt missed. Anthony Ujah (SV Werder Bremen) right footed shot from outside the box is close, but misses to the right. Assisted by Papy Djilobodji.",1,12.0,1,Werder Bremen,Hertha Berlin,anthony ujah,papy djilobodji,,,9.0,2.0,0,15.0,1.0,1,1.0,0
MX94dI81/,MX94dI8182,82,61,Foul by Santiago Garcia (SV Werder Bremen).,3,,1,Werder Bremen,Hertha Berlin,santiago garcia,,,,,,0,,,0,,0
MX94dI81/,MX94dI8183,83,61,Salomon Kalou (Hertha Berlin) wins a free kick in the defensive half.,8,,2,Hertha Berlin,Werder Bremen,salomon kalou,,,,,,0,2.0,,0,,0
MX94dI81/,MX94dI8184,84,62,Foul by Zlatko Junuzovic (SV Werder Bremen).,3,,1,Werder Bremen,Hertha Berlin,zlatko junuzovic,,,,,,0,,,0,,0
MX94dI81/,MX94dI8185,85,62,Mitchell Weiser (Hertha Berlin) wins a free kick on the right wing.,8,,2,Hertha Berlin,Werder Bremen,mitchell weiser,,,,,,0,5.0,,0,,0
MX94dI81/,MX94dI8186,86,63,"Substitution, SV Werder Bremen. Laszlo Kleinheisler replaces Florian Grillitsch.",7,,1,Werder Bremen,Hertha Berlin,,,laszlo kleinheisler,florian grillitsch,,,0,,,0,,0
MX94dI81/,MX94dI8187,87,63,Foul by Zlatko Junuzovic (SV Werder Bremen).,3,,1,Werder Bremen,Hertha Berlin,zlatko junuzovic,,,,,,0,,,0,,0
MX94dI81/,MX94dI8188,88,63,Fabian Lustenberger (Hertha Berlin) wins a free kick in the defensive half.,8,,2,Hertha Berlin,Werder Bremen,fabian lustenberger,,,,,,0,2.0,,0,,0
MX94dI81/,MX94dI8189,89,67,"Goal!  SV Werder Bremen 1, Hertha Berlin 2. Fin Bartels (SV Werder Bremen) left footed shot from the centre of the box to the bottom left corner. Assisted by Zlatko Junuzovic.",1,12.0,1,Werder Bremen,Hertha Berlin,fin bartels,zlatko junuzovic,,,3.0,1.0,1,3.0,2.0,1,1.0,0
MX94dI81/,MX94dI8190,90,68,Zlatko Junuzovic (SV Werder Bremen) wins a free kick on the left wing.,8,,1,Werder Bremen,Hertha Berlin,zlatko junuzovic,,,,,,0,4.0,,0,,0
MX94dI81/,MX94dI8191,91,68,Foul by Mitchell Weiser (Hertha Berlin).,3,,2,Hertha Berlin,Werder Bremen,mitchell weiser,,,,,,0,,,0,,0
MX94dI81/,MX94dI8192,92,68,Mitchell Weiser (Hertha Berlin) is shown the yellow card for a bad foul.,4,,2,Hertha Berlin,Werder Bremen,mitchell weiser,,,,,,0,,,0,,0
MX94dI81/,MX94dI8193,93,69,Foul by Anthony Ujah (SV Werder Bremen).,3,,1,Werder Bremen,Hertha Berlin,anthony ujah,,,,,,0,,,0,,0
MX94dI81/,MX94dI8194,94,69,"Substitution, Hertha Berlin. Johannes van den Bergh replaces Genki Haraguchi.",7,,2,Hertha Berlin,Werder Bremen,,,johannes van den bergh,genki haraguchi,,,0,,,0,,0
MX94dI81/,MX94dI8195,95,69,Sebastian Langkamp (Hertha Berlin) wins a free kick in the defensive half.,8,,2,Hertha Berlin,Werder Bremen,sebastian langkamp,,,,,,0,2.0,,0,,0
MX94dI81/,MX94dI8196,96,71,"Goal!  SV Werder Bremen 1, Hertha Berlin 3. Salomon Kalou (Hertha Berlin) right footed shot from the right side of the six yard box to the bottom right corner. Assisted by Johannes van den Bergh following a fast break.",1,12.0,2,Hertha Berlin,Werder Bremen,salomon kalou,johannes van den bergh,,,4.0,1.0,1,12.0,1.0,1,1.0,1
MX94dI81/,MX94dI8197,97,72,Foul by Laszlo Kleinheisler (SV Werder Bremen).,3,,1,Werder Bremen,Hertha Berlin,laszlo kleinheisler,,,,,,0,,,0,,0
MX94dI81/,MX94dI8198,98,72,Per Skjelbred (Hertha Berlin) wins a free kick in the defensive half.,8,,2,Hertha Berlin,Werder Bremen,per skjelbred,,,,,,0,2.0,,0,,0
MX94dI81/,MX94dI8199,99,74,Penalty SV Werder Bremen. Anthony Ujah draws a foul in the penalty area.,11,,1,Werder Bremen,Hertha Berlin,,,,,,,0,,,0,,0
MX94dI81/,MX94dI81100,100,75,"Goal!  SV Werder Bremen 2, Hertha Berlin 3. Claudio Pizarro (SV Werder Bremen) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Werder Bremen,Hertha Berlin,claudio pizarro,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
MX94dI81/,MX94dI81101,101,76,"Corner,  SV Werder Bremen. Conceded by Fabian Lustenberger.",2,,1,Werder Bremen,Hertha Berlin,fabian lustenberger,fabian lustenberger,,,,,0,,,0,,0
MX94dI81/,MX94dI81102,102,76,Attempt blocked. Santiago Garcia (SV Werder Bremen) header from the centre of the box is blocked. Assisted by Zlatko Junuzovic with a cross.,1,12.0,1,Werder Bremen,Hertha Berlin,santiago garcia,zlatko junuzovic,,,2.0,3.0,0,3.0,3.0,2,1.0,0
MX94dI81/,MX94dI81103,103,77,"Goal!  SV Werder Bremen 3, Hertha Berlin 3. Claudio Pizarro (SV Werder Bremen) header from very close range to the bottom left corner. Assisted by Santiago Garcia following a corner.",1,12.0,1,Werder Bremen,Hertha Berlin,claudio pizarro,santiago garcia,,,3.0,1.0,1,13.0,3.0,1,3.0,0
MX94dI81/,MX94dI81104,104,79,Theodor Gebre Selassie (SV Werder Bremen) wins a free kick in the attacking half.,8,,1,Werder Bremen,Hertha Berlin,theodor gebre selassie,,,,,,0,1.0,,0,,0
MX94dI81/,MX94dI81105,105,79,Foul by Vladimir Darida (Hertha Berlin).,3,,2,Hertha Berlin,Werder Bremen,vladimir darida,,,,,,0,,,0,,0
MX94dI81/,MX94dI81106,106,80,Foul by Fin Bartels (SV Werder Bremen).,3,,1,Werder Bremen,Hertha Berlin,fin bartels,,,,,,0,,,0,,0
MX94dI81/,MX94dI81107,107,80,Per Skjelbred (Hertha Berlin) wins a free kick in the defensive half.,8,,2,Hertha Berlin,Werder Bremen,per skjelbred,,,,,,0,2.0,,0,,0
MX94dI81/,MX94dI81108,108,81,Hand ball by Mitchell Weiser (Hertha Berlin).,10,,2,Hertha Berlin,Werder Bremen,mitchell weiser,,,,,,0,,,0,,0
MX94dI81/,MX94dI81109,109,84,Foul by Theodor Gebre Selassie (SV Werder Bremen).,3,,1,Werder Bremen,Hertha Berlin,theodor gebre selassie,,,,,,0,,,0,,0
MX94dI81/,MX94dI81110,110,84,Marvin Plattenhardt (Hertha Berlin) wins a free kick in the defensive half.,8,,2,Hertha Berlin,Werder Bremen,marvin plattenhardt,,,,,,0,2.0,,0,,0
